50
0,Station_0
1,Station_1
2,Station_2
3,Station_3
4,Station_4
5,Station_5
6,Station_6
7,Station_7
8,Station_8
9,Station_9
10,Station_10
11,Station_11
12,Station_12
13,Station_13
14,Station_14
15,Station_15
16,Station_16
17,Station_17
18,Station_18
19,Station_19
20,Station_20
21,Station_21
22,Station_22
23,Station_23
24,Station_24
25,Station_25
26,Station_26
27,Station_27
28,Station_28
29,Station_29
30,Station_30
31,Station_31
32,Station_32
33,Station_33
34,Station_34
35,Station_35
36,Station_36
37,Station_37
38,Station_38
39,Station_39
40,Station_40
41,Station_41
42,Station_42
43,Station_43
44,Station_44
45,Station_45
46,Station_46
47,Station_47
48,Station_48
49,Station_49
0,1,7
1,2,18
2,3,11
3,4,13
4,5,20
5,6,14
6,7,3
7,8,2
8,9,7
9,10,8
10,11,9
11,12,3
12,13,19
13,14,18
14,15,13
15,16,6
16,17,3
17,18,20
18,19,7
19,20,14
20,21,13
21,22,20
22,23,14
23,24,8
24,25,19
25,26,17
26,27,2
27,28,14
28,29,12
29,30,5
30,31,6
31,32,15
32,33,10
33,34,5
34,35,13
35,36,9
36,37,12
37,38,15
38,39,15
39,40,20
40,41,19
41,42,13
42,43,15
43,44,19
44,45,4
45,46,10
46,47,10
47,48,19
48,49,14
27,41,5
14,29,2
14,24,3
15,20,4
47,20,1
33,35,1
19,1,4
38,46,5
30,18,2
17,4,2
3,22,2
1,46,1
2,9,5
25,27,3
19,44,5
42,11,2
23,32,3
39,24,5
17,19,1
9,33,3
